popularity,key,release_date,song_name
[32,7,2020,"POLISH"],
[31,7,2020,"How u doin'"],
[35,9,2020,"The Reason Why"],
[49,5,2019,"Fake & True"],
[38,9,2019,"Stronger"],
[54,6,2019,"Breakthrough"],
[40,7,2019,"Changing!"],
[40,10,2019,"HAPPY HAPPY"],
[41,10,2019,"What You Waiting For"],
[37,0,2019,"Be OK"],
[39,7,2019,"POLISH"],
[36,7,2019,"How u doin'"],
[44,9,2019,"The Reason Why"],
[43,5,2019,"Fake & True"],
[28,9,2019,"Stronger"],
[31,6,2019,"Breakthrough"],
[30,7,2019,"Changing!"],
[32,10,2019,"HAPPY HAPPY"],
[27,10,2019,"What You Waiting For"],
[27,0,2019,"Be OK"],
[33,7,2019,"POLISH"],
[27,7,2019,"How u doin'"],
[33,9,2019,"The Reason Why"],
[60,1,2019,"Feel Special"],
[38,0,2019,"RAINBOW"],
[40,11,2019,"GET LOUD"],
[37,0,2019,"TRICK IT"],
[47,2,2019,"LOVE FOOLISH"],
[33,11,2019,"0.895138888888889"],
[31,6,2019,"BREAKTHROUGH - Korean Ver."],
[72,1,2019,"Feel Special"],
[48,0,2019,"RAINBOW"],
[53,11,2019,"GET LOUD"],
[50,0,2019,"TRICK IT"],
[57,2,2019,"LOVE FOOLISH"],
[50,11,2019,"0.895138888888889"],
[44,6,2019,"BREAKTHROUGH (Korean Version)"],
[47,4,2018,"STAY BY MY SIDE"],
[41,10,2018,"BDZ"],
[35,7,2018,"One More Time"],
[38,0,2018,"Candy Pop"],
[34,8,2018,"L.O.V.E"],
[37,6,2018,"Wishing"],
[34,7,2018,"Say it again"],
[34,6,2018,"Wake Me Up"],
[33,7,2018,"BRAND NEW GIRL"],
[38,8,2018,"Be as ONE"],
[35,10,2018,"I WANT YOU BACK"],
[40,5,2018,"The Best Thing I Ever Did"],
[30,5,2018,"Be as ONE - Korean Ver."],
[32,11,2018,"YES or YES"],
[20,9,2018,"SAY YOU LOVE ME"],
[19,9,2018,"LALALA"],
[16,2,2018,"YOUNG & WILD"],
[17,4,2018,"SUNSET"],
[21,5,2018,"AFTER MOON"],
[21,1,2018,"BDZ - Korean Ver."],
[53,5,2018,"The Best Thing I Ever Did"],
[43,8,2018,"Be as ONE (Korean Version)"],
[45,6,2018,"YES or YES"],
[33,9,2018,"SAY YOU LOVE ME"],
[32,9,2018,"LALALA"],
[30,2,2018,"YOUNG & WILD"],
[33,4,2018,"SUNSET"],
[34,5,2018,"AFTER MOON"],
[35,1,2018,"BDZ (Korean Version)"],
[57,11,2018,"YES or YES"],
[37,9,2018,"SAY YOU LOVE ME"],
[33,9,2018,"LALALA"],
[28,2,2018,"YOUNG & WILD"],
[29,4,2018,"SUNSET"],
[33,5,2018,"AFTER MOON"],
[30,1,2018,"BDZ - Korean Ver."],
[69,11,2018,"YES or YES"],
[48,9,2018,"SAY YOU LOVE ME"],
[44,9,2018,"LALALA"],
[41,2,2018,"YOUNG & WILD"],
[45,4,2018,"SUNSET"],
[45,5,2018,"AFTER MOON"],
[36,10,2018,"BDZ"],
[59,10,2018,"BDZ"],
[49,7,2018,"One More Time"],
[55,0,2018,"Candy Pop"],
[43,8,2018,"L.O.V.E"],
[47,6,2018,"Wishing"],
[41,7,2018,"Say it again"],
[49,6,2018,"Wake Me Up"],
[42,7,2018,"BRAND NEW GIRL"],
[49,8,2018,"Be as ONE"],
[51,10,2018,"I WANT YOU BACK"],
[56,0,2018,"Dance The Night Away"],
[36,8,2018,"CHILLAX"],
[29,7,2018,"Shot thru the heart"],
[59,8,2018,"What is Love?"],
[35,5,2018,"SWEET TALKER"],
[31,6,2018,"HO!"],
[26,0,2018,"DEJAVU"],
[31,10,2018,"SAY YES"],
[34,8,2018,"STUCK"],
[69,0,2018,"Dance The Night Away"],
[49,8,2018,"CHILLAX"],
[44,7,2018,"Shot Thru The Heart"],
[76,8,2018,"What is Love"],
[45,5,2018,"SWEET TALKER"],
[45,6,2018,"HO!"],
[41,0,2018,"DEJAVU"],
[45,10,2018,"SAY YES"],
[47,8,2018,"STUCK"],
[54,8,2017,"Heart Shaker"],
[54,10,2017,"Merry & Happy"],
[31,4,2017,"LIKEY"],
[28,1,2017,"TURTLE"],
[25,1,2017,"MISSING U"],
[21,1,2017,"WOW"],
[22,6,2017,"FFW"],
[21,11,2017,"DING DONG"],
[23,6,2017,"44766"],
[24,1,2017,"LOOK AT ME"],
[21,9,2017,"ROLLIN'"],
[21,0,2017,"LOVE LINE"],
[20,9,2017,"DON'T GIVE UP"],
[25,2,2017,"YOU IN MY HEART"],
[23,3,2017,"JALJAYO GOOD NIGHT"],
[65,8,2017,"Heart Shaker"],
[56,10,2017,"Merry & Happy"],
[44,4,2017,"Likey"],
[37,1,2017,"Turtle"],
[35,1,2017,"Missing U"],
[32,1,2017,"Wow"],
[32,6,2017,"Ffw"],
[31,11,2017,"Ding Dong"],
[33,6,2017,"44766"],
[33,1,2017,"Look At Me"],
[35,9,2017,"Rollin'"],
[33,0,2017,"Love Line"],
[30,9,2017,"Don't Give Up"],
[33,2,2017,"You In My Heart"],
[37,3,2017,"Jaljayo Good Night"],
[31,8,2017,"Heart Shaker"],
[34,10,2017,"Merry & Happy"],
[11,4,2017,"LIKEY"],
[9,1,2017,"����� / TURTLE"],
[4,1,2017,"MISSING U"],
[5,1,2017,"WOW"],
[4,6,2017,"FFW"],
[3,11,2017,"DING DONG"],
[4,6,2017,"44766"],
[4,1,2017," ��라��라� / LOOK AT ME"],
[4,9,2017,"ROLLIN�"],
[3,0,2017,"LOVE LINE"],
[3,9,2017,"_�내! (DON’T GIVE UP) / DON’T GIVE UP"],
[3,2,2017," �� � / YOU IN MY HEART"],
[3,3,2017,"�자 ���잇 / JALJAYO GOOD NIGHT"],
[52,4,2017,"LIKEY"],
[41,1,2017,"TURTLE"],
[32,1,2017,"MISSING U"],
[25,1,2017,"WOW"],
[26,6,2017,"FFW"],
[25,11,2017,"DING DONG"],
[29,6,2017,"44766"],
[36,1,2017,"LOOK AT ME"],
[29,9,2017,"ROLLIN'"],
[31,0,2017,"LOVE LINE"],
[25,9,2017,"DON'T GIVE UP"],
[34,2,2017,"YOU IN MY HEART"],
[30,3,2017,"JALJAYO GOOD NIGHT"],
[28,4,2017,"LIKEY"],
[17,1,2017,"����� / TURTLE"],
[8,1,2017,"MISSING U"],
[6,1,2017,"WOW"],
[6,6,2017,"FFW"],
[5,11,2017,"DING DONG"],
[7,6,2017,"44766"],
[9,1,2017," ��라��라� / LOOK AT ME"],
[7,9,2017,"ROLLIN�"],
[6,0,2017,"LOVE LINE"],
[5,9,2017,"_�내! (DON’T GIVE UP) / DON’T GIVE UP"],
[8,2,2017," �� � / YOU IN MY HEART"],
[7,3,2017,"�자 ���잇 / JALJAYO GOOD NIGHT"],
[68,4,2017,"Likey"],
[52,1,2017,"Turtle"],
[45,1,2017,"Missing U"],
[39,1,2017,"Wow"],
[40,6,2017,"Ffw"],
[39,11,2017,"Ding Dong"],
[43,6,2017,"44766"],
[47,1,2017,"Look At Me"],
[47,9,2017,"Rollin'"],
[45,0,2017,"Love Line"],
[38,9,2017,"Don't Give Up"],
[44,2,2017,"You In My Heart"],
[47,3,2017,"Jaljayo Good Night"],
[38,2,2017,"TT"],
[31,1,2017,"1 TO 10"],
[24,6,2017,"PONYTAIL"],
[30,9,2017,"JELLY JELLY"],
[26,7,2017,"PIT-A-PAT"],
[24,8,2017,"NEXT PAGE"],
[35,11,2017,"ONE IN A MILLION"],
[51,1,2017,"KNOCK KNOCK"],
[35,5,2017,"Ice Cream"],
[51,2,2017,"TT"],
[39,1,2017,"1 TO 10"],
