popularity,liveness,valence,tempo,duration_ms,release_date,release_dates,release_dates
[10,0.102,0.176,123.991,135000,2021/10/1,"2021/10/1","2021/10/1"],
[22,0.0816,0.922,120.044,198053,2021/10/1,"2021/10/1","2021/10/1"],
[3,0.0349,0.679,117.997,202922,2021/10/1,"2021/10/1","2021/10/1"],
[3,0.317,0.553,124.044,135000,2021/10/1,"2021/10/1","2021/10/1"],
[2,0.062,0.9,119.958,198053,2021/10/1,"2021/10/1","2021/10/1"],
[1,0.0784,0.684,118.009,202922,2021/10/1,"2021/10/1","2021/10/1"],
[1,0.102,0.176,123.991,135000,2021/10/1,"2021/10/1","2021/10/1"],
[58,0.126,0.649,112.999,194600,2021/11/12,"2021/11/12","2021/11/12"],
[45,0.0535,0.961,115.995,219387,2021/11/12,"2021/11/12","2021/11/12"],
[44,0.0756,0.816,149.984,176160,2021/11/12,"2021/11/12","2021/11/12"],
[42,0.151,0.82,124.989,211427,2021/11/12,"2021/11/12","2021/11/12"],
[43,0.0453,0.886,119.975,187933,2021/11/12,"2021/11/12","2021/11/12"],
[41,0.196,0.653,117.971,191253,2021/11/12,"2021/11/12","2021/11/12"],
[43,0.0892,0.61,141.968,170560,2021/11/12,"2021/11/12","2021/11/12"],
[43,0.141,0.752,93.208,187800,2021/11/12,"2021/11/12","2021/11/12"],
[46,0.378,0.436,82.026,180613,2021/11/12,"2021/11/12","2021/11/12"],
[42,0.154,0.223,169.835,217213,2021/11/12,"2021/11/12","2021/11/12"],
[43,0.0658,0.778,120.069,205467,2021/11/12,"2021/11/12","2021/11/12"],
[44,0.057,0.544,169.968,183213,2021/11/12,"2021/11/12","2021/11/12"],
[43,0.222,0.708,88.938,198453,2021/11/12,"2021/11/12","2021/11/12"],
[43,0.0671,0.78,116.03,195053,2021/11/12,"2021/11/12","2021/11/12"],
[61,0.0816,0.922,120.044,198053,2021/11/12,"2021/11/12","2021/11/12"],
[41,0.152,0.556,123.025,208780,2021/11/12,"2021/11/12","2021/11/12"],
[71,0.126,0.649,112.999,194600,2021/11/12,"2021/11/12","2021/11/12"],
[64,0.0535,0.961,115.995,219387,2021/11/12,"2021/11/12","2021/11/12"],
[62,0.0756,0.816,149.984,176160,2021/11/12,"2021/11/12","2021/11/12"],
[59,0.151,0.82,124.989,211427,2021/11/12,"2021/11/12","2021/11/12"],
[55,0.0453,0.886,119.975,187933,2021/11/12,"2021/11/12","2021/11/12"],
[57,0.196,0.653,117.971,191253,2021/11/12,"2021/11/12","2021/11/12"],
[61,0.0892,0.61,141.968,170560,2021/11/12,"2021/11/12","2021/11/12"],
[58,0.141,0.752,93.208,187800,2021/11/12,"2021/11/12","2021/11/12"],
[64,0.378,0.436,82.026,180613,2021/11/12,"2021/11/12","2021/11/12"],
[56,0.154,0.223,169.835,217213,2021/11/12,"2021/11/12","2021/11/12"],
[58,0.0658,0.778,120.069,205467,2021/11/12,"2021/11/12","2021/11/12"],
[61,0.057,0.544,169.968,183213,2021/11/12,"2021/11/12","2021/11/12"],
[58,0.222,0.708,88.938,198453,2021/11/12,"2021/11/12","2021/11/12"],
[56,0.0671,0.78,116.03,195053,2021/11/12,"2021/11/12","2021/11/12"],
[77,0.0816,0.922,120.044,198053,2021/11/12,"2021/11/12","2021/11/12"],
[50,0.186,0.622,123.02,208780,2021/11/12,"2021/11/12","2021/11/12"],
[34,0.126,0.649,112.999,194600,2021/11/12,"2021/11/12","2021/11/12"],
[18,0.0535,0.961,115.995,219387,2021/11/12,"2021/11/12","2021/11/12"],
[16,0.0756,0.816,149.984,176160,2021/11/12,"2021/11/12","2021/11/12"],
[14,0.151,0.82,124.989,211427,2021/11/12,"2021/11/12","2021/11/12"],
[13,0.0453,0.886,119.975,187933,2021/11/12,"2021/11/12","2021/11/12"],
[13,0.196,0.653,117.971,191253,2021/11/12,"2021/11/12","2021/11/12"],
[17,0.0892,0.61,141.968,170560,2021/11/12,"2021/11/12","2021/11/12"],
[14,0.141,0.752,93.208,187800,2021/11/12,"2021/11/12","2021/11/12"],
[16,0.378,0.436,82.026,180613,2021/11/12,"2021/11/12","2021/11/12"],
[14,0.154,0.223,169.835,217213,2021/11/12,"2021/11/12","2021/11/12"],
[15,0.0658,0.778,120.069,205467,2021/11/12,"2021/11/12","2021/11/12"],
[15,0.057,0.544,169.968,183213,2021/11/12,"2021/11/12","2021/11/12"],
[16,0.222,0.708,88.938,198453,2021/11/12,"2021/11/12","2021/11/12"],
[15,0.0671,0.78,116.03,195053,2021/11/12,"2021/11/12","2021/11/12"],
[35,0.0816,0.922,120.044,198053,2021/11/12,"2021/11/12","2021/11/12"],
[11,0.152,0.556,123.024,208780,2021/11/12,"2021/11/12","2021/11/12"],
[69,0.145,0.459,82.039,263680,2021/12/3,"2021/12/3","2021/12/3"],
[53,0.145,0.459,82.039,263680,2021/12/15,"2021/12/15","2021/12/15"],
[59,0.168,0.547,74.944,211213,2021/12/15,"2021/12/15","2021/12/15"],
[37,0.185,0.345,82.024,263680,2021/12/15,"2021/12/15","2021/12/15"],
[29,0.17,0.436,74.996,212840,2021/12/15,"2021/12/15","2021/12/15"],
[12,0.145,0.459,82.039,263680,2021/12/15,"2021/12/15","2021/12/15"],
[18,0.168,0.547,74.944,211213,2021/12/15,"2021/12/15","2021/12/15"],
[2,0.185,0.345,82.024,263680,2021/12/15,"2021/12/15","2021/12/15"],
[2,0.17,0.436,74.996,212840,2021/12/15,"2021/12/15","2021/12/15"],
[10,0.0554,0.606,127.03,185218,2022/2/4,"2022/2/4","2022/2/4"],
[14,0.0816,0.922,120.044,198053,2022/2/4,"2022/2/4","2022/2/4"],
[1,0.0349,0.679,117.997,202922,2022/2/4,"2022/2/4","2022/2/4"],
[1,0.317,0.553,124.044,135000,2022/2/4,"2022/2/4","2022/2/4"],
[1,0.062,0.9,119.958,198053,2022/2/4,"2022/2/4","2022/2/4"],
[1,0.635,0.95,126.985,249709,2022/2/4,"2022/2/4","2022/2/4"],
[0,0.0784,0.684,118.009,202922,2022/2/4,"2022/2/4","2022/2/4"],
[0,0.102,0.176,123.991,135000,2022/2/4,"2022/2/4","2022/2/4"],
[1,0.0677,0.49,127.011,184041,2022/2/4,"2022/2/4","2022/2/4"],
[45,0.137,0.672,112.975,196707,2022/3/2,"2022/3/2","2022/3/2"],
[53,0.513,0.782,150.018,209400,2022/3/16,"2022/3/16","2022/3/16"],
[53,0.155,0.469,144.8,207280,2022/3/16,"2022/3/16","2022/3/16"],
[52,0.11,0.669,96.987,213547,2022/3/16,"2022/3/16","2022/3/16"],
[50,0.137,0.672,112.975,196707,2022/3/16,"2022/3/16","2022/3/16"],
[56,0.407,0.346,105.039,200213,2022/3/22,"2022/3/22","2022/3/22"],
[66,0.0634,0.864,111.998,188433,2022/7/15,"2022/7/15","2022/7/15"],
[63,0.0634,0.864,111.998,188433,2022/7/27,"2022/8/27","2022/8/27"],
[48,0.0387,0.756,103.999,183989,2022/7/27,"2022/8/27","2022/8/27"],
[49,0.303,0.607,114.968,183340,2022/7/27,"2022/8/27","2022/8/27"],
[48,0.0734,0.844,109.981,213340,2022/7/27,"2022/8/27","2022/8/27"],
[49,0.334,0.764,104.04,182033,2022/7/27,"2022/8/27","2022/8/27"],
[49,0.116,0.684,168.041,210867,2022/7/27,"2022/8/27","2022/8/27"],
[49,0.0522,0.883,100.034,192167,2022/7/27,"2022/8/27","2022/8/27"],
[48,0.407,0.346,105.039,200213,2022/7/27,"2022/8/27","2022/8/27"],
[62,0.145,0.459,82.039,263680,2022/7/27,"2022/8/27","2022/8/27"],
[25,0.0634,0.864,111.998,188433,2022/7/27,"2022/8/27","2022/8/27"],
[11,0.0387,0.756,103.999,183989,2022/7/27,"2022/8/27","2022/8/27"],
[11,0.303,0.607,114.968,183340,2022/7/27,"2022/8/27","2022/8/27"],
[10,0.0734,0.844,109.981,213340,2022/7/27,"2022/8/27","2022/8/27"],
[11,0.334,0.764,104.04,182033,2022/7/27,"2022/8/27","2022/8/27"],
[10,0.116,0.684,168.041,210867,2022/7/27,"2022/8/27","2022/8/27"],
[10,0.0522,0.883,100.034,192167,2022/7/27,"2022/8/27","2022/8/27"],
[16,0.0887,0.36,105.01,202414,2022/7/27,"2022/8/27","2022/8/27"],
[19,0.147,0.456,82.004,266450,2022/7/27,"2022/8/27","2022/8/27"],
[72,0.332,0.768,119.964,177467,2022/8/26,"2022/8/26","2022/8/26"],
[53,0.0728,0.816,149.932,186947,2022/8/26,"2022/8/26","2022/8/26"],
[50,0.126,0.587,138.017,176973,2022/8/26,"2022/8/26","2022/8/26"],
[47,0.0539,0.551,122.962,215400,2022/8/26,"2022/8/26","2022/8/26"],
[47,0.218,0.661,131.97,189200,2022/8/26,"2022/8/26","2022/8/26"],
[46,0.0574,0.819,159.887,195000,2022/8/26,"2022/8/26","2022/8/26"],
[46,0.114,0.534,136.944,189347,2022/8/26,"2022/8/26","2022/8/26"],
[83,0.334,0.783,119.973,177467,2022/8/26,"2022/8/26","2022/8/26"],
[67,0.0702,0.815,149.94,186947,2022/8/26,"2022/8/26","2022/8/26"],
[69,0.139,0.585,137.997,176973,2022/8/26,"2022/8/26","2022/8/26"],
[61,0.0427,0.571,122.946,215400,2022/8/26,"2022/8/26","2022/8/26"],
[62,0.178,0.663,131.963,189200,2022/8/26,"2022/8/26","2022/8/26"],
[61,0.0576,0.836,159.886,195000,2022/8/26,"2022/8/26","2022/8/26"],
[60,0.109,0.537,136.968,189347,2022/8/26,"2022/8/26","2022/8/26"],
[47,0.332,0.779,119.975,177467,2022/8/26,"2022/8/26","2022/8/26"],
[26,0.0722,0.814,149.942,186947,2022/8/26,"2022/8/26","2022/8/26"],
[26,0.15,0.585,138.005,176973,2022/8/26,"2022/8/26","2022/8/26"],
[22,0.0439,0.57,122.932,215400,2022/8/26,"2022/8/26","2022/8/26"],
[23,0.166,0.64,131.959,189200,2022/8/26,"2022/8/26","2022/8/26"],
[22,0.0555,0.833,159.873,195000,2022/8/26,"2022/8/26","2022/8/26"],
[22,0.109,0.551,136.958,189347,2022/8/26,"2022/8/26","2022/8/26"],
