popularity,liveness,valence,tempo,duration_ms,release_date,release_dates,release_dates
[26,0.112,0.833,119.995,179711,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.0537,0.909,160.092,180962,2017/12/11,"2017/12/11","2017/12/11"],
[22,0.282,0.895,127.984,225984,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.233,0.824,149.998,212117,2017/12/11,"2017/12/11","2017/12/11"],
[23,0.401,0.558,123.072,215485,2017/12/11,"2017/12/11","2017/12/11"],
[24,0.0675,0.662,134.898,193144,2017/12/11,"2017/12/11","2017/12/11"],
[22,0.273,0.272,122.014,190898,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.11,0.542,95.019,196796,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.124,0.414,102.982,178344,2017/12/11,"2017/12/11","2017/12/11"],
[25,0.109,0.382,102.988,208868,2017/12/11,"2017/12/11","2017/12/11"],
[23,0.0911,0.359,133.979,262922,2017/12/11,"2017/12/11","2017/12/11"],
[65,0.154,0.857,164.062,186893,2017/12/11,"2017/12/11","2017/12/11"],
[57,0.0817,0.666,154.077,192573,2017/12/11,"2017/12/11","2017/12/11"],
[44,0.117,0.428,131.988,207813,2017/12/11,"2017/12/11","2017/12/11"],
[38,0.16,0.623,95.079,198040,2017/12/11,"2017/12/11","2017/12/11"],
[36,0.112,0.849,119.976,179707,2017/12/11,"2017/12/11","2017/12/11"],
[32,0.0547,0.922,160.118,180960,2017/12/11,"2017/12/11","2017/12/11"],
[32,0.296,0.928,127.976,225987,2017/12/11,"2017/12/11","2017/12/11"],
[32,0.224,0.801,149.995,212120,2017/12/11,"2017/12/11","2017/12/11"],
[33,0.387,0.548,123.067,215480,2017/12/11,"2017/12/11","2017/12/11"],
[34,0.0687,0.635,134.888,193147,2017/12/11,"2017/12/11","2017/12/11"],
[35,0.279,0.263,122.022,190893,2017/12/11,"2017/12/11","2017/12/11"],
[33,0.105,0.495,95.004,196800,2017/12/11,"2017/12/11","2017/12/11"],
[30,0.155,0.465,102.985,178347,2017/12/11,"2017/12/11","2017/12/11"],
[33,0.109,0.421,103,208867,2017/12/11,"2017/12/11","2017/12/11"],
[37,0.0961,0.361,133.93,262960,2017/12/11,"2017/12/11","2017/12/11"],
[31,0.177,0.841,164.08,186896,2017/12/11,"2017/12/11","2017/12/11"],
[35,0.0822,0.658,154.026,192571,2017/12/11,"2017/12/11","2017/12/11"],
[11,0.129,0.437,132.013,207824,2017/12/11,"2017/12/11","2017/12/11"],
[9,0.135,0.596,95.015,198034,2017/12/11,"2017/12/11","2017/12/11"],
[5,0.113,0.855,119.96,179711,2017/12/11,"2017/12/11","2017/12/11"],
[5,0.0534,0.921,160.032,180962,2017/12/11,"2017/12/11","2017/12/11"],
[4,0.295,0.906,127.98,225984,2017/12/11,"2017/12/11","2017/12/11"],
[3,0.126,0.823,150.011,212117,2017/12/11,"2017/12/11","2017/12/11"],
[4,0.385,0.536,123.049,215485,2017/12/11,"2017/12/11","2017/12/11"],
[4,0.0638,0.631,134.91,193144,2017/12/11,"2017/12/11","2017/12/11"],
[4,0.279,0.245,122.008,190898,2017/12/11,"2017/12/11","2017/12/11"],
[3,0.108,0.504,95.001,196796,2017/12/11,"2017/12/11","2017/12/11"],
[3,0.121,0.422,102.994,178344,2017/12/11,"2017/12/11","2017/12/11"],
[3,0.109,0.406,103.001,208868,2017/12/11,"2017/12/11","2017/12/11"],
[3,0.0969,0.376,133.949,262922,2017/12/11,"2017/12/11","2017/12/11"],
[56,0.112,0.78,118.004,180809,2018/7/9,"2018/7/9","2018/7/9"],
[36,0.0694,0.788,108.966,186285,2018/7/9,"2018/7/9","2018/7/9"],
[29,0.524,0.245,142.981,205064,2018/7/9,"2018/7/9","2018/7/9"],
[59,0.266,0.602,169.982,208238,2018/7/9,"2018/7/9","2018/7/9"],
[35,0.133,0.826,160.018,207743,2018/7/9,"2018/7/9","2018/7/9"],
[31,0.018,0.977,160.004,189076,2018/7/9,"2018/7/9","2018/7/9"],
[26,0.109,0.526,116.789,196423,2018/7/9,"2018/7/9","2018/7/9"],
[31,0.226,0.399,160.014,182946,2018/7/9,"2018/7/9","2018/7/9"],
[34,0.181,0.626,157.962,215337,2018/7/9,"2018/7/9","2018/7/9"],
[69,0.113,0.779,118.089,180800,2018/7/9,"2018/7/9","2018/7/9"],
[49,0.0575,0.741,108.977,186293,2018/7/9,"2018/7/9","2018/7/9"],
[45,0.594,0.263,142.965,205053,2018/7/9,"2018/7/9","2018/7/9"],
[76,0.264,0.569,169.966,208240,2018/7/9,"2018/7/9","2018/7/9"],
[45,0.153,0.798,159.995,207747,2018/7/9,"2018/7/9","2018/7/9"],
[45,0.0242,0.974,160.009,189080,2018/7/9,"2018/7/9","2018/7/9"],
[42,0.0895,0.509,116.782,196413,2018/7/9,"2018/7/9","2018/7/9"],
[46,0.226,0.366,80.009,182947,2018/7/9,"2018/7/9","2018/7/9"],
[47,0.142,0.573,157.899,215400,2018/7/9,"2018/7/9","2018/7/9"],
[59,0.108,0.668,137.93,197800,2018/9/12,"2018/9/12","2018/9/12"],
