popularity,speechiness,acousticness,release_date,song_name
[51,0.262,0.533,2020,"HANDLE IT"],
[51,0.0387,0.0953,2020,"DEPEND ON YOU"],
[55,0.0622,0.0859,2020,"SAY SOMETHING"],
[50,0.113,0.0689,2020,"BEHIND THE MASK"],
[54,0.06,0.0312,2020,"MORE & MORE"],
[38,0.0576,0.0564,2020,"OXYGEN"],
[35,0.0536,0.115,2020,"FIREWORK"],
[36,0.0611,0.00539,2020,"MAKE ME GO"],
[34,0.161,0.138,2020,"SHADOW"],
[33,0.175,0.00146,2020,"DON'T CALL ME AGAIN"],
[35,0.0645,0.0187,2020,"SWEET SUMMER DAY"],
[67,0.06,0.0312,2020,"MORE & MORE"],
[51,0.0576,0.0564,2020,"OXYGEN"],
[49,0.0536,0.115,2020,"FIREWORK"],
[51,0.0611,0.00539,2020,"MAKE ME GO"],
[49,0.161,0.138,2020,"SHADOW"],
[45,0.175,0.00146,2020,"DON’T CALL ME AGAIN"],
[47,0.0645,0.0187,2020,"SWEET SUMMER DAY"],
[35,0.0572,0.0216,2020,"SWING"],
[27,0.0599,0.0569,2020,"Fake & True"],
[20,0.0647,0.0217,2020,"Stronger"],
[26,0.11,0.0439,2020,"Breakthrough"],
[29,0.0729,0.261,2020,"Changing!"],
[25,0.145,0.173,2020,"HAPPY HAPPY"],
[21,0.0735,0.024,2020,"What You Waiting For"],
[19,0.149,0.0305,2020,"Be OK"],
[24,0.206,0.114,2020,"POLISH"],
[19,0.0463,0.0237,2020,"How u doin'"],
[23,0.0279,0.116,2020,"The Reason Why"],
[41,0.0572,0.0216,2020,"SWING"],
[38,0.0599,0.0569,2020,"Fake & True"],
[32,0.0647,0.0217,2020,"Stronger"],
[38,0.11,0.0439,2020,"Breakthrough"],
[33,0.0729,0.261,2020,"Changing!"],
[34,0.145,0.173,2020,"HAPPY HAPPY"],
[34,0.0735,0.024,2020,"What You Waiting For"],
[31,0.149,0.0305,2020,"Be OK"],
[32,0.206,0.114,2020,"POLISH"],
[31,0.0463,0.0237,2020,"How u doin'"],
[35,0.0279,0.116,2020,"The Reason Why"],
[49,0.0599,0.0569,2019,"Fake & True"],
[38,0.0647,0.0217,2019,"Stronger"],
[54,0.11,0.0439,2019,"Breakthrough"],
[40,0.0729,0.261,2019,"Changing!"],
[40,0.145,0.173,2019,"HAPPY HAPPY"],
[41,0.0735,0.024,2019,"What You Waiting For"],
[37,0.149,0.0305,2019,"Be OK"],
[39,0.206,0.114,2019,"POLISH"],
[36,0.0463,0.0237,2019,"How u doin'"],
[44,0.0279,0.116,2019,"The Reason Why"],
[43,0.0599,0.0569,2019,"Fake & True"],
[28,0.0647,0.0217,2019,"Stronger"],
[31,0.11,0.0439,2019,"Breakthrough"],
[30,0.0729,0.261,2019,"Changing!"],
[32,0.145,0.173,2019,"HAPPY HAPPY"],
[27,0.0735,0.024,2019,"What You Waiting For"],
[27,0.149,0.0305,2019,"Be OK"],
[33,0.206,0.114,2019,"POLISH"],
[27,0.0463,0.0237,2019,"How u doin'"],
[33,0.0279,0.116,2019,"The Reason Why"],
[60,0.0603,0.0296,2019,"Feel Special"],
[38,0.167,0.0203,2019,"RAINBOW"],
[40,0.0725,0.046,2019,"GET LOUD"],
[37,0.078,0.0895,2019,"TRICK IT"],
[47,0.1,0.11,2019,"LOVE FOOLISH"],
[33,0.03,0.114,2019,"0.895138888888889"],
[31,0.127,0.0486,2019,"BREAKTHROUGH - Korean Ver."],
[72,0.0604,0.0296,2019,"Feel Special"],
[48,0.129,0.0236,2019,"RAINBOW"],
[53,0.0774,0.0464,2019,"GET LOUD"],
[50,0.0742,0.0867,2019,"TRICK IT"],
[57,0.0971,0.118,2019,"LOVE FOOLISH"],
[50,0.0427,0.126,2019,"0.895138888888889"],
[44,0.122,0.0434,2019,"BREAKTHROUGH (Korean Version)"],
[47,0.0502,0.0669,2018,"STAY BY MY SIDE"],
[41,0.0444,0.0113,2018,"BDZ"],
