popularity,danceability,energy,speechiness,acousticness,liveness,valence,release_date,song_name
[61,0.799,0.772,0.105,0.213,0.0892,0.61,2021,"LAST WALTZ""]"
[58,0.656,0.851,0.215,0.065,0.141,0.752,2021,"ESPRESSO""]"
[64,0.665,0.732,0.173,0.768,0.378,0.436,2021,"REWIND""]"
[55,0.511,0.615,0.0307,0.122,0.154,0.223,2021,"CACTUS""]"
[58,0.739,0.907,0.156,0.389,0.0658,0.778,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)""]"
[61,0.813,0.638,0.122,0.0363,0.057,0.544,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)""]"
[58,0.656,0.875,0.0463,0.0799,0.222,0.708,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)""]"
[56,0.853,0.734,0.0363,0.212,0.0671,0.78,2021,"CANDY""]"
[77,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[50,0.755,0.955,0.121,0.0576,0.186,0.622,2021,"SCIENTIST (R3HAB Remix)""]"
[66,0.684,0.877,0.0611,0.0477,0.344,0.599,2021,"Perfect World""]"
[57,0.768,0.698,0.046,0.00123,0.353,0.584,2021,"BETTER""]"
[53,0.745,0.684,0.0568,0.0513,0.117,0.37,2021,"Good at Love""]"
[55,0.669,0.956,0.126,0.0302,0.0764,0.81,2021,"Fanfare""]"
[58,0.734,0.714,0.0986,0.166,0.0648,0.761,2021,"Kura Kura""]"
[51,0.806,0.85,0.13,0.076,0.144,0.772,2021,"Four-leaf Clover""]"
[50,0.792,0.846,0.144,0.0402,0.327,0.55,2021,"In the summer""]"
[51,0.763,0.767,0.0384,0.236,0.34,0.727,2021,"PIECES OF LOVE""]"
[51,0.568,0.553,0.045,0.181,0.0638,0.502,2021,"Thank you, Family""]"
[51,0.581,0.42,0.03,0.818,0.116,0.317,2021,"PROMISE""]"
[18,0.678,0.881,0.0604,0.0479,0.325,0.61,2021,"Perfect World""]"
[13,0.767,0.707,0.0437,0.00105,0.29,0.582,2021,"BETTER""]"
[9,0.745,0.684,0.0568,0.0513,0.117,0.37,2021,"Good at Love""]"
[12,0.675,0.954,0.12,0.0238,0.0767,0.801,2021,"Fanfare""]"
[12,0.736,0.715,0.106,0.167,0.0628,0.763,2021,"Kura Kura""]"
[8,0.806,0.85,0.13,0.076,0.144,0.772,2021,"Four-leaf Clover""]"
[11,0.792,0.846,0.144,0.0402,0.327,0.55,2021,"In the summer""]"
[8,0.763,0.767,0.0384,0.236,0.34,0.727,2021,"PIECES OF LOVE""]"
[8,0.568,0.553,0.045,0.181,0.0638,0.502,2021,"Thank you, Family""]"
[9,0.581,0.42,0.03,0.818,0.116,0.317,2021,"PROMISE""]"
[60,0.657,0.88,0.102,0.121,0.463,0.769,2020,"I CAN'T STOP ME""]"
[37,0.8,0.81,0.0604,0.182,0.107,0.694,2020,"HELL IN HEAVEN""]"
[42,0.709,0.88,0.0585,0.0298,0.103,0.713,2020,"UP NO MORE""]"
[37,0.78,0.896,0.0614,0.0101,0.091,0.715,2020,"DO WHAT WE LIKE""]"
[34,0.842,0.638,0.0684,0.207,0.118,0.606,2020,"BRING IT BACK""]"
[35,0.669,0.84,0.0599,0.0294,0.663,0.483,2020,"BELIEVER""]"
[40,0.629,0.837,0.258,0.139,0.107,0.423,2020,"QUEEN""]"
[36,0.791,0.852,0.0449,0.296,0.0999,0.509,2020,"GO HARD""]"
[36,0.79,0.927,0.141,0.108,0.357,0.553,2020,"SHOT CLOCK""]"
[34,0.509,0.574,0.262,0.533,0.0898,0.69,2020,"HANDLE IT""]"
[36,0.676,0.597,0.0387,0.0953,0.455,0.522,2020,"DEPEND ON YOU""]"
[35,0.713,0.841,0.0622,0.0859,0.0646,0.723,2020,"SAY SOMETHING""]"
[34,0.362,0.813,0.113,0.0689,0.195,0.346,2020,"BEHIND THE MASK""]"
[76,0.657,0.88,0.102,0.121,0.463,0.769,2020,"I CAN'T STOP ME""]"
[56,0.8,0.81,0.0604,0.182,0.107,0.694,2020,"HELL IN HEAVEN""]"
[61,0.709,0.88,0.0585,0.0298,0.103,0.713,2020,"UP NO MORE""]"
[51,0.78,0.896,0.0614,0.0101,0.091,0.715,2020,"DO WHAT WE LIKE""]"
[50,0.842,0.638,0.0684,0.207,0.118,0.606,2020,"BRING IT BACK""]"
[50,0.669,0.84,0.0599,0.0294,0.663,0.483,2020,"BELIEVER""]"
[54,0.629,0.837,0.258,0.139,0.107,0.423,2020,"QUEEN""]"
