,popularity,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name
48,71,0.786,0.858,11,0.0675,0.0487,0.0,0.126,0.649,112.999,194600,4,TWICE,2021-11-12,SCIENTIST
49,64,0.807,0.704,5,0.071,0.0245,0.0,0.0535,0.961,115.995,219387,4,TWICE,2021-11-12,MOONLIGHT
50,62,0.746,0.809,6,0.0484,0.0338,0.0,0.0756,0.816,149.984,176160,4,TWICE,2021-11-12,ICON
51,59,0.84,0.827,9,0.061,0.0112,0.0,0.151,0.82,124.989,211427,4,TWICE,2021-11-12,CRUEL
52,55,0.858,0.831,9,0.12,0.0977,0.0,0.0453,0.886,119.975,187933,4,TWICE,2021-11-12,REAL YOU
53,57,0.756,0.889,11,0.0945,0.0921,0.0,0.196,0.653,117.971,191253,4,TWICE,2021-11-12,F.I.L.A (Fall In Love Again)
54,61,0.799,0.772,7,0.105,0.213,0.0,0.0892,0.61,141.968,170560,4,TWICE,2021-11-12,LAST WALTZ
55,58,0.656,0.851,7,0.215,0.065,0.0,0.141,0.752,93.208,187800,4,TWICE,2021-11-12,ESPRESSO
56,64,0.665,0.732,5,0.173,0.768,0.0,0.378,0.436,82.026,180613,4,TWICE,2021-11-12,REWIND
57,56,0.511,0.615,11,0.0307,0.122,0.0,0.154,0.223,169.835,217213,4,TWICE,2021-11-12,CACTUS
58,58,0.739,0.907,11,0.156,0.389,1.33e-06,0.0658,0.778,120.069,205467,4,TWICE,2021-11-12,"PUSH & PULL (JIHYO, SANA, DAHYUN)"
59,61,0.813,0.638,0,0.122,0.0363,0.0,0.057,0.544,169.968,183213,4,TWICE,2021-11-12,"HELLO (NAYEON, MOMO, CHAEYOUNG)"
60,58,0.656,0.875,0,0.0463,0.0799,0.0,0.222,0.708,88.938,198453,4,TWICE,2021-11-12,"1, 3, 2 (JEONGYEON, MINA, TZUYU)"
61,56,0.853,0.734,8,0.0363,0.212,0.0,0.0671,0.78,116.03,195053,4,TWICE,2021-11-12,CANDY
62,77,0.808,0.903,9,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053,4,TWICE,2021-11-12,The Feels
63,50,0.755,0.955,11,0.121,0.0576,0.0001,0.186,0.622,123.02,208780,4,TWICE,2021-11-12,SCIENTIST (R3HAB Remix)
64,34,0.786,0.858,11,0.0675,0.0487,0.0,0.126,0.649,112.999,194600,4,TWICE,2021-11-12,SCIENTIST
65,18,0.807,0.704,5,0.071,0.0245,0.0,0.0535,0.961,115.995,219387,4,TWICE,2021-11-12,MOONLIGHT
66,16,0.746,0.809,6,0.0484,0.0338,0.0,0.0756,0.816,149.984,176160,4,TWICE,2021-11-12,ICON
67,14,0.84,0.827,9,0.061,0.0112,0.0,0.151,0.82,124.989,211427,4,TWICE,2021-11-12,CRUEL
68,13,0.858,0.831,9,0.12,0.0977,0.0,0.0453,0.886,119.975,187933,4,TWICE,2021-11-12,REAL YOU
69,13,0.756,0.889,11,0.0945,0.0921,0.0,0.196,0.653,117.971,191253,4,TWICE,2021-11-12,F.I.L.A (Fall In Love Again)
70,17,0.799,0.772,7,0.105,0.213,0.0,0.0892,0.61,141.968,170560,4,TWICE,2021-11-12,LAST WALTZ
71,14,0.656,0.851,7,0.215,0.065,0.0,0.141,0.752,93.208,187800,4,TWICE,2021-11-12,ESPRESSO
72,16,0.665,0.732,5,0.173,0.768,0.0,0.378,0.436,82.026,180613,4,TWICE,2021-11-12,알고 싶지 않아 (REWIND)
73,14,0.511,0.615,11,0.0307,0.122,0.0,0.154,0.223,169.835,217213,4,TWICE,2021-11-12,선인장 (CACTUS)
74,15,0.739,0.907,11,0.156,0.389,1.33e-06,0.0658,0.778,120.069,205467,4,TWICE,2021-11-12,"PUSH & PULL (JIHYO, SANA, DAHYUN)"
75,15,0.813,0.638,0,0.122,0.0363,0.0,0.057,0.544,169.968,183213,4,TWICE,2021-11-12,"HELLO (NAYEON, MOMO, CHAEYOUNG)"
76,16,0.656,0.875,0,0.0463,0.0799,0.0,0.222,0.708,88.938,198453,4,TWICE,2021-11-12,"1, 3, 2 (JEONGYEON, MINA, TZUYU)"
77,15,0.853,0.734,8,0.0363,0.212,0.0,0.0671,0.78,116.03,195053,4,TWICE,2021-11-12,CANDY
78,35,0.808,0.903,9,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053,4,TWICE,2021-11-12,The Feels
79,11,0.753,0.956,11,0.119,0.057,0.000187,0.152,0.556,123.024,208780,4,TWICE,2021-11-12,SCIENTIST (R3HAB Remix)
80,66,0.684,0.877,3,0.0611,0.0477,0.0,0.344,0.599,134.98,182680,4,TWICE,2021-07-28,Perfect World
81,57,0.768,0.698,6,0.046,0.00123,0.00031,0.353,0.584,124.99,223667,4,TWICE,2021-07-28,BETTER
82,53,0.745,0.684,6,0.0568,0.0513,0.0,0.117,0.37,91.021,231233,4,TWICE,2021-07-28,Good at Love
83,55,0.669,0.956,6,0.126,0.0302,9.78e-06,0.0764,0.81,114.922,220240,4,TWICE,2021-07-28,Fanfare
84,58,0.734,0.714,7,0.0986,0.166,0.0,0.0648,0.761,130.999,227747,4,TWICE,2021-07-28,Kura Kura
85,51,0.806,0.85,6,0.13,0.076,0.0,0.144,0.772,114.994,227653,4,TWICE,2021-07-28,Four-leaf Clover
86,50,0.792,0.846,1,0.144,0.0402,0.0,0.327,0.55,113.009,210953,4,TWICE,2021-07-28,In the summer
87,51,0.763,0.767,9,0.0384,0.236,0.0,0.34,0.727,103.01,241747,4,TWICE,2021-07-28,PIECES OF LOVE
88,51,0.568,0.553,7,0.045,0.181,0.0,0.0638,0.502,102.022,197353,3,TWICE,2021-07-28,"Thank you, Family"
89,51,0.581,0.42,6,0.03,0.818,0.0,0.116,0.317,135.786,259693,4,TWICE,2021-07-28,PROMISE
90,19,0.678,0.881,8,0.0604,0.0479,0.0,0.325,0.61,134.966,184973,4,TWICE,2021-07-28,Perfect World
91,13,0.767,0.707,6,0.0437,0.00105,0.000444,0.29,0.582,124.982,222067,4,TWICE,2021-07-28,BETTER
92,9,0.745,0.684,6,0.0568,0.0513,0.0,0.117,0.37,91.021,231233,4,TWICE,2021-07-28,Good at Love
93,12,0.675,0.954,6,0.12,0.0238,5.32e-06,0.0767,0.801,114.993,220033,4,TWICE,2021-07-28,Fanfare
94,12,0.736,0.715,7,0.106,0.167,0.0,0.0628,0.763,131.012,227493,4,TWICE,2021-07-28,Kura Kura
95,9,0.806,0.85,6,0.13,0.076,0.0,0.144,0.772,114.994,227653,4,TWICE,2021-07-28,Four-leaf Clover
96,11,0.792,0.846,1,0.144,0.0402,0.0,0.327,0.55,113.009,210953,4,TWICE,2021-07-28,In the summer
97,9,0.763,0.767,9,0.0384,0.236,0.0,0.34,0.727,103.01,241747,4,TWICE,2021-07-28,PIECES OF LOVE
98,9,0.568,0.553,7,0.045,0.181,0.0,0.0638,0.502,102.022,197353,3,TWICE,2021-07-28,"Thank you, Family"
99,9,0.581,0.42,6,0.03,0.818,0.0,0.116,0.317,135.786,259693,4,TWICE,2021-07-28,PROMISE
100,60,0.657,0.88,10,0.102,0.121,0.0,0.463,0.769,150.084,205493,4,TWICE,2020-10-26,I CAN'T STOP ME
101,37,0.8,0.81,4,0.0604,0.182,1.06e-06,0.107,0.694,105.042,179320,4,TWICE,2020-10-26,HELL IN HEAVEN
102,42,0.709,0.88,2,0.0585,0.0298,4.46e-06,0.103,0.713,119.948,214240,4,TWICE,2020-10-26,UP NO MORE
103,37,0.78,0.896,11,0.0614,0.0101,0.0,0.091,0.715,124.926,179587,4,TWICE,2020-10-26,DO WHAT WE LIKE
104,34,0.842,0.638,2,0.0684,0.207,0.0,0.118,0.606,115.051,208133,4,TWICE,2020-10-26,BRING IT BACK
105,35,0.669,0.84,7,0.0599,0.0294,0.0,0.663,0.483,105.009,196947,4,TWICE,2020-10-26,BELIEVER
106,40,0.629,0.837,0,0.258,0.139,0.0,0.107,0.423,105.882,193573,4,TWICE,2020-10-26,QUEEN
107,36,0.791,0.852,6,0.0449,0.296,1.56e-05,0.0999,0.509,100.062,181520,4,TWICE,2020-10-26,GO HARD
108,36,0.79,0.927,1,0.141,0.108,0.0,0.357,0.553,97.995,209480,4,TWICE,2020-10-26,SHOT CLOCK
109,34,0.509,0.574,5,0.262,0.533,0.0,0.0898,0.69,85.96,171053,4,TWICE,2020-10-26,HANDLE IT
110,36,0.676,0.597,5,0.0387,0.0953,0.0,0.455,0.522,100.156,198867,4,TWICE,2020-10-26,DEPEND ON YOU
